,Well_Name,Well_Types
340,Allen Creek/Eighth St,Surface Water
341,Allen Creek/Glendale,Surface Water
342,Allen Creek/Maple Ridge-Arborview,Surface Water
343,Allen Creek/Maryfield-Wildwood Park,Surface Water
344,Allen Creek/Murray Ave,Surface Water
345,Allen Creek/West Park SW,Surface Water
346,Allen Creek/Wildwood-Arborview,Surface Water
347,AMW-1,Monitoring Wells
348,AMW-2,Monitoring Wells
349,Arbor Landing Pond,Surface Water
350,ARTESIAN #1,Miscellaneous Wells
351,ARTESIAN #2,Miscellaneous Wells
352,ARTESIAN #3,Miscellaneous Wells
353,Bethlehem Cemetery,Miscellaneous Wells
354,Creek/Hannah Nature Area,Surface Water
355,DOLPH,Extraction Wells
356,Eaton-101d,Monitoring Wells
357,Eaton-101s,Monitoring Wells
358,Eaton-106d,Monitoring Wells
359,Eaton-106s,Monitoring Wells
360,Eaton-107d,Monitoring Wells
361,Eaton-107s,Monitoring Wells
362,EFF-UV1-A,Not Applicable
363,EFF-UV1-B,Not Applicable
364,EFF-UV2-A,Not Applicable
365,EFF-UV2-B,Not Applicable
366,Entry Errors,Not Applicable
367,Fire Well,Miscellaneous Wells
368,First Sister Lake,Surface Water
369,Green Pond,Treatment System
370,HC/HR,Surface Water
371,HCMW-2d,Miscellaneous Wells
372,Honey Creek/Dexter Rd,Surface Water
373,Honey Creek/W Huron Dr,Surface Water
374,Huron River/Maple Rd Bridge (Foster Bridge),Surface Water
375,HZ-N,Not Applicable
376,HZ-S,Monitoring Wells
377,INF-UV1-A,Not Applicable
378,IW-1,Miscellaneous Wells
379,IW-2,Monitoring Wells
380,LB-1,Extraction Wells
381,LB-2,Extraction Wells
382,LB-3,Extraction Wells
383,LB-4,Extraction Wells
384,LBOW-1,Monitoring Wells
385,Little Lake,Surface Water
386,LS-1,Miscellaneous Wells
387,LS-2,Miscellaneous Wells
388,LS-3,Miscellaneous Wells
389,LS-5,Miscellaneous Wells
390,Maple-Inj,Injection Wells
391,MOW-1,Monitoring Wells
392,MW-1,Monitoring Wells
393,MW-1 Replacement,Monitoring Wells
394,MW-100,Monitoring Wells
395,MW-101,Monitoring Wells
396,MW-102d,Monitoring Wells
397,MW-102s,Monitoring Wells
398,MW-103d,Monitoring Wells
399,MW-103s,Monitoring Wells
400,MW-104,Monitoring Wells
401,MW-105d,Monitoring Wells
402,MW-105s,Monitoring Wells
403,MW-106d,Monitoring Wells
404,MW-106s,Monitoring Wells
405,MW-107,Monitoring Wells
406,MW-108d,Monitoring Wells
407,MW-108s,Monitoring Wells
408,MW-10d,Monitoring Wells
409,MW-10s,Monitoring Wells
410,MW-110,Monitoring Wells
411,MW-111,Monitoring Wells
412,MW-112d,Monitoring Wells
413,MW-112i,Monitoring Wells
414,MW-112s,Monitoring Wells
415,MW-113,Monitoring Wells
416,MW-115,Monitoring Wells
417,MW-116,Monitoring Wells
418,MW-117,Monitoring Wells
419,MW-118,Monitoring Wells
420,MW-119,Monitoring Wells
421,MW-11d,Monitoring Wells
422,MW-11i,Monitoring Wells
423,MW-11s,Monitoring Wells
424,MW-120d,Monitoring Wells
425,MW-120s,Monitoring Wells
426,MW-121d,Monitoring Wells
427,MW-121s,Monitoring Wells
428,MW-122d,Monitoring Wells
429,MW-122s,Monitoring Wells
430,MW-123d,Monitoring Wells
431,MW-123s,Monitoring Wells
432,MW-124d,Monitoring Wells
433,MW-124s,Monitoring Wells
434,MW-125,Monitoring Wells
435,MW-126d,Monitoring Wells
436,MW-126s,Monitoring Wells
437,MW-127d,Monitoring Wells
438,MW-127s,Monitoring Wells
439,MW-128d,Monitoring Wells
440,MW-128s,Monitoring Wells
441,MW-129d,Monitoring Wells
442,MW-129i,Monitoring Wells
443,MW-129s,Monitoring Wells
444,MW-12d,Monitoring Wells
445,MW-12s,Monitoring Wells
446,MW-13,Monitoring Wells
447,MW-130d,Monitoring Wells
448,MW-130i,Monitoring Wells
449,MW-130s,Monitoring Wells
450,MW-131d,Monitoring Wells
451,MW-131s,Monitoring Wells
452,MW-133d,Monitoring Wells
453,MW-133i,Monitoring Wells
454,MW-133s,Monitoring Wells
455,MW-134d,Monitoring Wells
456,MW-134i,Monitoring Wells
457,MW-134s,Monitoring Wells
458,MW-135,Monitoring Wells
459,MW-136d,Monitoring Wells
460,MW-136i,Monitoring Wells
461,MW-136s,Monitoring Wells
462,MW-137d,Monitoring Wells
463,MW-137s,Monitoring Wells
464,MW-138d,Monitoring Wells
465,MW-138i,Monitoring Wells
466,MW-138s,Monitoring Wells
467,MW-139d,Monitoring Wells
468,MW-139i,Monitoring Wells
