"Number","Well name","Trend","Historical High","2021 Prediction","2022 Prediction","2023 Prediction","2024 Prediction","2025 Prediction","Prediction High","Below detectable level (1 ppb)","Below trigger for responese level (4 ppb)","Below current drinking water standard (7.2 ppb)","Below previous drinking water standard (85 ppb)",""
"198","MW-94d","increasing","3.2","2.456278994","2.576903629","2.697528264","2.8182294","2.938854035","2.938854035","","1","1","1",""
"199","MW-94s","decreasing","2852","1068.25198","1516.876787","2009.435599","2408.778175","2696.422188","2696.422188","","","","",""
"200","MW-95","decreasing","682","22.33889102","25.08161517","28.30739758","32.11363438","36.61899398","36.61899398","","","","1",""
"201","MW-96","decreasing","3849","129.9425599","129.9450271","129.9441559","129.9444635","129.9443549","129.9450271","","","","",""
"202","MW-98d","increasing","21","16.51131917","16.72331287","16.86203069","17.05583083","17.1763551","17.1763551","","","","1",""
"203","MW-98s","no trend","6.5","8.851362017","11.20272403","13.55365689","15.90501891","18.25638093","18.25638093","","","","1",""
"204","MW-9d","no trend","62","0.478790938","1.151338024","2.211265829","1.446885418","1.065010351","2.211265829","","1","1","1",""
"205","MW-BE-1d","increasing","900","576.1792048","569.6913903","573.1193294","571.3870066","572.2845333","576.1792048","","","","",""
"206","MW-BE-1s","increasing","980","699.6949363","760.0848555","805.5001581","834.4704549","856.260961","856.260961","","","","",""
"207","MW-KD-1d","increasing","390","374.1078824","378.5480813","364.2911746","411.1351947","474.9532833","474.9532833","","","","",""
"208","MW-KD-1s","increasing","140","115.4508905","121.0145952","126.691114","132.480756","138.3832122","138.3832122","","","","",""
"209","MW-KZ-1","decreasing","20","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"210","NMW-1d","decreasing","6690","690","680","680","670","670","690","","","","",""
"211","NMW-1s","decreasing","10000","1961.290325","1961.290325","1961.290325","1961.290325","1961.290325","1961.290325","","","","",""
"212","NMW-2d","decreasing","5450","840","840","840","840","840","840","","","","",""
"213","NMW-2s","decreasing","8600","1992.851","1978.143304","1963.435609","1948.727913","1934.020217","1992.851","","","","",""
"214","NMW-3d","decreasing","3200","422.5352736","372.6242842","324.4935296","282.4936716","240.6051561","422.5352736","","","","",""
"215","NMW-3s","decreasing","2710","329.64","246.546","200.772","158.679","180.229","329.64","","","","",""
"216","PMW-1","decreasing","12400","100","100","100","100","100","100","","","","",""
"217","PMW-2","decreasing","39000","4566.531776","4874.35071","5222.982479","5612.5389","6042.908155","6042.908155","","","","",""
"218","PMW-3","decreasing","29900","6272.41209","6053.733521","5843.586757","5641.613715","5447.467593","6272.41209","","","","",""
"219","PMW-4","decreasing","3610","1051.122301","1051.122301","1051.122301","1051.122301","1051.122301","1051.122301","","","","",""
"220","PW-1","decreasing","82000","934.0453583","848.9405453","930.0698538","868.3696453","924.0593237","934.0453583","","","","",""
"221","SW-1M","no trend","21","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
